Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ag La <= 2.70;26.009672336273674;Ag La;2.70;<=;34.93503948432681;86.0;0.021418286605097592;Ag La <= 34.935039
Ag La <= 7.76;22.99544936523949;Ag La;7.76;<=;105.81488607575318;78.0;0.002962923541284468;Ag La <= 105.814886
Ag Lb <= 2.36;20.138872005306965;Ag Lb;2.36;<=;30.578161867946335;0.0;0.008012762675194907;Ag Lb <= 30.578162
Ag Lb <= 6.48;16.13261775811476;Ag Lb;6.48;<=;75.49644981449632;98.0;0.013049628841997674;Ag Lb <= 75.496450
Ag La <= 9.01;11.23298507887763;Ag La;9.01;<=;126.90360743382234;239.0;0.0048005263724526515;Ag La <= 126.903607
Ag Lb <= 8.04;4.630831293003151;Ag Lb;8.04;<=;90.97565161589358;20.0;0.008902278824004739;Ag Lb <= 90.975652
Ag ka > 5.37;0.9552426864960797;Ag ka;5.37;>;237.87070756307767;139.0;0.0024089099200788056;Ag ka > 237.870708
Bremsstrahlung <= -1.54;0.6786460376925098;Bremsstrahlung;-1.54;<=;-72.07916823575721;60.0;0.03718389640748887;Bremsstrahlung <= -72.079168
Ag ka <= 5.37;0.6158265501954969;Ag ka;5.37;<=;237.87070756307767;139.0;0.0024089099200788056;Ag ka <= 237.870708
Bremsstrahlung <= 4.15;0.6012883155543729;Bremsstrahlung;4.15;<=;83.6777418516451;106.0;0.010263855528465982;Bremsstrahlung <= 83.677742
Bremsstrahlung <= 9.64;0.5799567333384021;Bremsstrahlung;9.64;<=;198.5756401223947;82.0;0.011684949302988912;Bremsstrahlung <= 198.575640
Ag compton <= 2.96;0.5270971147351108;Ag compton;2.96;<=;74.39470058341419;207.0;0.010136869954574745;Ag compton <= 74.394701
Bremsstrahlung > 4.15;0.52253827270067;Bremsstrahlung;4.15;>;83.6777418516451;106.0;0.010263855528465982;Bremsstrahlung > 83.677742
Ag compton <= 6.52;0.5012400928920739;Ag compton;6.52;<=;158.18346835845333;100.0;0.030141366695600524;Ag compton <= 158.183468
Ag La > -18.52;0.45860607121920305;Ag La;-18.52;>;-258.447799838784;161.0;0.011705018376058973;Ag La > -258.447800
Bremsstrahlung > -9.06;0.4333424733198007;Bremsstrahlung;-9.06;>;-170.55833192945536;125.0;0.0008367000031856975;Bremsstrahlung > -170.558332
Ag La > 2.70;0.4093844845252601;Ag La;2.70;>;34.93503948432681;86.0;0.021418286605097592;Ag La > 34.935039
Ag compton > -1.09;0.4008164995231161;Ag compton;-1.09;>;-26.815762054746585;75.0;0.015426775365999124;Ag compton > -26.815762
Bremsstrahlung > -1.54;0.3999143888057003;Bremsstrahlung;-1.54;>;-72.07916823575721;60.0;0.03718389640748887;Bremsstrahlung > -72.079168
Ag compton <= -1.09;0.3945021711536936;Ag compton;-1.09;<=;-26.815762054746585;75.0;0.015426775365999124;Ag compton <= -26.815762
Ag Lb > 2.36;0.3911896713910102;Ag Lb;2.36;>;30.578161867946335;0.0;0.008012762675194907;Ag Lb > 30.578162
Ag ka <= -7.06;0.3900606642458575;Ag ka;-7.06;<=;-250.57393705511763;70.0;0.012823896618630037;Ag ka <= -250.573937
Ag ka > -7.06;0.38764541027868527;Ag ka;-7.06;>;-250.57393705511763;70.0;0.012823896618630037;Ag ka > -250.573937
Ag ka <= 20.95;0.37776980163260876;Ag ka;20.95;<=;815.8725816964688;48.0;0.0722384595069201;Ag ka <= 815.872582
Ag Lb > -15.87;0.37386063266689257;Ag Lb;-15.87;>;-194.32699493561745;146.0;0.11032869035354942;Ag Lb > -194.326995
Ag compton > -6.71;0.3685211303380348;Ag compton;-6.71;>;-167.57785983835186;39.0;0.07552416180718691;Ag compton > -167.577860
Ag ka > -11.59;0.32290796349144235;Ag ka;-11.59;>;-489.01057540288764;105.0;0.04768632458816313;Ag ka > -489.010575
Ag compton > 2.96;0.27644245749728436;Ag compton;2.96;>;74.39470058341419;207.0;0.010136869954574745;Ag compton > 74.394701
