Class;17;17.02;17.04;17.06;17.08;17.1;17.12;17.14;17.16;17.18;17.2;17.22;17.24;17.26;17.28;17.3;17.32;17.34;17.36;17.38;17.4;17.42;17.44;17.46;17.48;17.5;17.52;17.54;17.56;17.58;17.6;17.62;17.64;17.66;17.68;17.7;17.72;17.74;17.76;17.78;17.8;17.82;17.84;17.86;17.88;17.9;17.92;17.94;17.96;17.98;18;18.02;18.04;18.06;18.08;18.1;18.12;18.14;18.16;18.18;18.2;18.22;18.24;18.26;18.28;18.3;18.32;18.34;18.36;18.38;18.4;18.42;18.44;18.46;18.48;18.5;18.52;18.54;18.56;18.58;18.6;18.62;18.64;18.66;18.68;18.7;18.72;18.74;18.76;18.78;18.8;18.82;18.84;18.86;18.88;18.9;18.92;18.94;18.96;18.98;19;19.02;19.04;19.06;19.08;19.1;19.12;19.14;19.16;19.18;19.2;19.22;19.24;19.26;19.28;19.3;19.32;19.34;19.36;19.38;19.4;19.42;19.44;19.46;19.48;19.5;19.52;19.54;19.56;19.58;19.6;19.62;19.64;19.66;19.68;19.7;19.72;19.74;19.76;19.78;19.8;19.82;19.84;19.86
A;0.1722;0.174;0.1835;0.172;0.1893;0.17;0.177;0.178;0.1785;0.1833;0.1703;0.1742;0.1812;0.1795;0.1742;0.1673;0.1635;0.177;0.1767;0.1893;0.1893;0.1735;0.1865;0.1893;0.1817;0.1815;0.1878;0.1755;0.1858;0.187;0.1895;0.1787;0.1953;0.1923;0.1878;0.1772;0.199;0.1858;0.191;0.1998;0.2065;0.185;0.201;0.2097;0.2028;0.2035;0.1888;0.2223;0.1973;0.2145;0.2218;0.2117;0.2072;0.2138;0.2295;0.2112;0.218;0.2318;0.2258;0.2325;0.2233;0.2278;0.2437;0.2437;0.2385;0.2395;0.2392;0.2395;0.237;0.2455;0.258;0.2672;0.2405;0.2665;0.2535;0.2742;0.27;0.279;0.2747;0.2988;0.3217;0.333;0.3242;0.3388;0.3762;0.3638;0.39;0.4238;0.4425;0.4557;0.497;0.5278;0.59;0.6338;0.657;0.7332;0.7865;0.8585;0.8718;0.937;1.0213;1.0348;1.1267;1.1685;1.255;1.283;1.313;1.3075;1.3373;1.3678;1.3683;1.367;1.346;1.3575;1.269;1.2437;1.2268;1.1447;1.0995;1.0485;0.9732;0.9243;0.8818;0.8007;0.7505;0.673;0.6408;0.6148;0.5255;0.52;0.453;0.4088;0.3997;0.3915;0.3513;0.3388;0.3075;0.2963;0.27;0.2645;0.2475;0.2427;0.2483;0.222
A;0.1922;0.2011;0.1933;0.2075;0.1969;0.1953;0.1767;0.2;0.2017;0.1883;0.1983;0.1853;0.1967;0.1978;0.1875;0.1886;0.2008;0.1822;0.1981;0.1922;0.1914;0.2128;0.1928;0.2053;0.1819;0.1875;0.1967;0.1908;0.2006;0.1978;0.1956;0.2058;0.1956;0.2047;0.2025;0.2019;0.2142;0.2108;0.2128;0.2114;0.2319;0.2244;0.2111;0.2247;0.2122;0.2058;0.2117;0.2219;0.2364;0.2297;0.2181;0.2408;0.24;0.2356;0.2361;0.2258;0.2378;0.2356;0.2525;0.2606;0.2289;0.2661;0.2392;0.2511;0.2536;0.2647;0.2722;0.2611;0.2839;0.26;0.2875;0.2647;0.2814;0.295;0.3006;0.285;0.3008;0.3228;0.2997;0.3272;0.3256;0.3497;0.3439;0.3728;0.4119;0.4019;0.4169;0.4631;0.4858;0.5122;0.545;0.5767;0.6114;0.6594;0.7053;0.7775;0.8344;0.8758;0.9964;1.0144;1.0686;1.1403;1.2342;1.2869;1.3375;1.365;1.3964;1.4239;1.4764;1.4975;1.5236;1.4994;1.4881;1.4867;1.4336;1.4017;1.3392;1.2808;1.225;1.1933;1.0989;1.0597;0.955;0.8581;0.8378;0.7794;0.7292;0.6703;0.5781;0.5439;0.5169;0.4889;0.4239;0.4086;0.3703;0.3728;0.3322;0.3122;0.2914;0.2861;0.2819;0.2667;0.2589;0.2531
A;0.1929;0.2026;0.196;0.1937;0.1994;0.1874;0.184;0.2009;0.1966;0.1969;0.2026;0.1989;0.2063;0.1946;0.1946;0.2009;0.1954;0.2006;0.2077;0.2069;0.2066;0.1986;0.2031;0.1977;0.194;0.2023;0.208;0.2091;0.2157;0.2106;0.2203;0.2051;0.2074;0.2171;0.206;0.198;0.2169;0.2103;0.21;0.2171;0.2317;0.2251;0.218;0.2166;0.2277;0.2297;0.2254;0.2194;0.2237;0.2337;0.2374;0.2114;0.246;0.2574;0.24;0.2469;0.2557;0.252;0.2494;0.256;0.2597;0.2666;0.2569;0.2683;0.2574;0.2611;0.2749;0.2609;0.2731;0.2751;0.2709;0.2854;0.2791;0.2937;0.2977;0.2977;0.2969;0.3283;0.3423;0.3214;0.3346;0.3626;0.3791;0.3957;0.3906;0.4169;0.4297;0.4597;0.5009;0.5129;0.5709;0.62;0.6497;0.7063;0.7563;0.7991;0.8557;0.956;1.0171;1.0691;1.1529;1.198;1.29;1.3289;1.4249;1.4211;1.4849;1.4843;1.534;1.5583;1.556;1.4966;1.5034;1.4734;1.4826;1.464;1.3877;1.2729;1.2554;1.1906;1.1497;1.0526;0.9874;0.9343;0.8646;0.7991;0.7311;0.6614;0.6286;0.5829;0.5451;0.5174;0.4663;0.4246;0.4237;0.3789;0.3457;0.3194;0.3069;0.2937;0.2991;0.2829;0.2611;0.2546
A;0.174;0.1765;0.1812;0.177;0.1795;0.1828;0.1618;0.1735;0.1843;0.184;0.1802;0.175;0.1923;0.182;0.1905;0.178;0.1915;0.1885;0.1767;0.1888;0.1823;0.1928;0.1843;0.1883;0.188;0.18;0.189;0.1923;0.1735;0.1993;0.1807;0.1973;0.1918;0.2072;0.1865;0.1888;0.2052;0.2047;0.1855;0.1858;0.1838;0.21;0.2158;0.1993;0.2165;0.2065;0.205;0.213;0.2052;0.2095;0.2173;0.2188;0.2097;0.223;0.2308;0.214;0.2305;0.2335;0.2335;0.2318;0.2377;0.2392;0.239;0.2355;0.2445;0.2377;0.2442;0.2463;0.2448;0.26;0.2535;0.2692;0.273;0.2833;0.273;0.2778;0.298;0.2725;0.3008;0.2988;0.302;0.3262;0.3465;0.3495;0.3623;0.383;0.401;0.4148;0.4472;0.4843;0.5148;0.5465;0.5935;0.6412;0.6797;0.7332;0.809;0.8505;0.9273;0.9998;1.034;1.1327;1.1752;1.2588;1.2408;1.3513;1.3623;1.3693;1.4383;1.416;1.4415;1.4455;1.4215;1.349;1.3513;1.3193;1.2848;1.228;1.1603;1.0793;1.0268;0.9712;0.9127;0.8343;0.7897;0.7242;0.6553;0.6185;0.5663;0.5258;0.477;0.4482;0.4233;0.3862;0.3548;0.3438;0.326;0.2983;0.2838;0.2727;0.262;0.2395;0.2355;0.24
A;0.1897;0.1958;0.1953;0.1869;0.1972;0.1989;0.195;0.1958;0.2;0.2017;0.1886;0.2025;0.2058;0.1892;0.1953;0.1933;0.1942;0.1964;0.1922;0.2158;0.1969;0.2042;0.2025;0.2047;0.2306;0.2153;0.1978;0.2083;0.2167;0.2069;0.2006;0.2211;0.1981;0.2106;0.215;0.2175;0.2292;0.2056;0.2211;0.2161;0.2178;0.2186;0.2317;0.22;0.2364;0.2353;0.2344;0.2281;0.2478;0.2281;0.2456;0.2528;0.2456;0.2422;0.2506;0.2511;0.25;0.2494;0.2397;0.2592;0.2467;0.2547;0.2558;0.2642;0.2822;0.2644;0.2689;0.2597;0.2728;0.2767;0.2903;0.2906;0.2842;0.2947;0.2894;0.3172;0.3283;0.3156;0.3369;0.3331;0.3475;0.3653;0.3897;0.3858;0.3989;0.4128;0.4406;0.4856;0.4925;0.5586;0.535;0.6211;0.6494;0.7067;0.7619;0.8414;0.9167;0.9478;1.0203;1.1078;1.1542;1.2286;1.2744;1.3472;1.4175;1.3939;1.4869;1.5186;1.5589;1.5667;1.5697;1.5697;1.575;1.5108;1.4811;1.4211;1.4169;1.3303;1.2569;1.2308;1.1128;1.0781;0.9867;0.9269;0.8828;0.7911;0.7367;0.6878;0.6558;0.5822;0.5503;0.5086;0.4644;0.4667;0.4014;0.3858;0.3569;0.3428;0.3178;0.2981;0.2753;0.2869;0.2864;0.2992
A;0.1792;0.193;0.1755;0.1825;0.1817;0.174;0.1718;0.1765;0.1725;0.1848;0.174;0.1757;0.176;0.18;0.174;0.1755;0.174;0.19;0.1878;0.1732;0.1878;0.179;0.186;0.1845;0.1973;0.1893;0.1913;0.19;0.1787;0.1963;0.1823;0.1833;0.1943;0.1903;0.1943;0.1963;0.1868;0.1925;0.1968;0.1908;0.1993;0.2045;0.213;0.189;0.2042;0.1995;0.2173;0.2122;0.2153;0.2023;0.2;0.2097;0.2193;0.2283;0.2133;0.2097;0.233;0.2105;0.242;0.2163;0.2335;0.2375;0.2372;0.2357;0.2445;0.2397;0.2545;0.2612;0.259;0.2557;0.2632;0.2607;0.2705;0.268;0.2747;0.2607;0.2825;0.2737;0.2915;0.3085;0.305;0.3342;0.3443;0.3377;0.3515;0.3767;0.3965;0.4338;0.45;0.487;0.5252;0.5517;0.6008;0.6295;0.6757;0.7295;0.8013;0.842;0.9113;0.9712;1.0375;1.1025;1.1407;1.2103;1.2635;1.31;1.3647;1.4107;1.3743;1.4195;1.379;1.3967;1.3773;1.3262;1.3698;1.263;1.2783;1.1828;1.137;1.0842;0.967;0.9013;0.8928;0.8515;0.7855;0.7322;0.6753;0.608;0.5583;0.5168;0.4818;0.4417;0.4098;0.374;0.3593;0.3385;0.3272;0.3065;0.2732;0.2577;0.278;0.2645;0.2415;0.2537
A;0.2054;0.1977;0.2066;0.2151;0.212;0.202;0.2186;0.208;0.1963;0.2094;0.2043;0.1911;0.2049;0.2094;0.2077;0.208;0.2111;0.2123;0.2166;0.2066;0.2157;0.2229;0.212;0.2117;0.2003;0.2169;0.2229;0.2174;0.224;0.2266;0.22;0.2266;0.2189;0.2171;0.2174;0.2266;0.2177;0.222;0.234;0.2357;0.2317;0.2249;0.2329;0.226;0.2294;0.2366;0.2457;0.2354;0.2351;0.2366;0.2566;0.2386;0.2637;0.2634;0.2494;0.2531;0.244;0.2671;0.2631;0.2786;0.2651;0.2937;0.264;0.2751;0.2771;0.2743;0.2717;0.2857;0.2914;0.3026;0.3043;0.3189;0.322;0.3157;0.3071;0.3297;0.3366;0.352;0.3523;0.3617;0.3577;0.3937;0.3917;0.4091;0.4317;0.438;0.46;0.5126;0.5354;0.5683;0.602;0.6366;0.6917;0.7537;0.7911;0.8449;0.9109;0.9886;1.0126;1.1597;1.236;1.2609;1.316;1.4146;1.4543;1.4854;1.5834;1.6151;1.6234;1.6343;1.6154;1.6306;1.6146;1.6431;1.5634;1.5137;1.4483;1.4523;1.3231;1.2997;1.2054;1.1334;1.0537;1.0037;0.9203;0.8177;0.7834;0.7131;0.6874;0.6474;0.59;0.5406;0.5094;0.4629;0.448;0.4134;0.3777;0.378;0.342;0.3177;0.2954;0.3046;0.284;0.294
A;0.1775;0.1858;0.1917;0.1856;0.1794;0.1975;0.1967;0.1861;0.1828;0.1817;0.1917;0.1767;0.1903;0.185;0.1858;0.1822;0.1928;0.1756;0.1872;0.1964;0.1897;0.2031;0.1806;0.1853;0.2003;0.1964;0.195;0.1989;0.1847;0.1978;0.2014;0.1919;0.1922;0.1964;0.1992;0.1969;0.2092;0.2;0.2064;0.2183;0.2236;0.1986;0.1997;0.2214;0.2019;0.2131;0.2181;0.2158;0.2314;0.2211;0.2203;0.2364;0.2217;0.2217;0.2258;0.2481;0.25;0.2331;0.2311;0.2467;0.2478;0.2447;0.2483;0.2417;0.2392;0.2506;0.2503;0.2586;0.2656;0.2681;0.2592;0.2794;0.2894;0.2928;0.2789;0.3078;0.295;0.3036;0.3108;0.3292;0.3394;0.3467;0.3628;0.3692;0.3847;0.3856;0.4306;0.4497;0.4578;0.5053;0.5678;0.5744;0.6203;0.645;0.7594;0.7839;0.8358;0.9117;0.9631;1.0617;1.1036;1.1514;1.2147;1.2828;1.3467;1.4122;1.4192;1.4447;1.4692;1.48;1.5253;1.5108;1.4725;1.4411;1.4058;1.3497;1.3281;1.2608;1.2022;1.1525;1.0719;0.9936;0.9547;0.8969;0.8297;0.7586;0.7019;0.6486;0.6161;0.5664;0.5142;0.4836;0.4467;0.4069;0.3708;0.3317;0.3303;0.3153;0.3125;0.2931;0.2867;0.2544;0.2664;0.2753
A;0.1717;0.1544;0.1651;0.1683;0.1739;0.1641;0.1632;0.1617;0.1695;0.1659;0.181;0.181;0.1654;0.1571;0.1693;0.18;0.1802;0.1685;0.17;0.1751;0.1712;0.1722;0.1707;0.1761;0.1807;0.1839;0.1695;0.1805;0.1724;0.1737;0.1717;0.182;0.1822;0.1693;0.1866;0.1751;0.1888;0.1829;0.1856;0.1776;0.1898;0.1937;0.1763;0.178;0.191;0.1854;0.1956;0.2046;0.1927;0.2002;0.2034;0.2056;0.2027;0.2015;0.218;0.2229;0.21;0.2117;0.2173;0.2263;0.21;0.2095;0.228;0.2183;0.2349;0.2256;0.2222;0.2273;0.2361;0.2346;0.2376;0.2515;0.2585;0.2432;0.2502;0.2668;0.2539;0.281;0.2598;0.2768;0.2951;0.3161;0.3237;0.3268;0.3495;0.3551;0.3885;0.3917;0.4207;0.4405;0.4922;0.5073;0.5551;0.6151;0.6446;0.6932;0.7485;0.788;0.8651;0.9424;0.9983;1.0146;1.11;1.1361;1.1907;1.1963;1.2741;1.2963;1.318;1.35;1.3276;1.3193;1.3254;1.2995;1.2798;1.2122;1.178;1.1278;1.0822;0.9988;0.9537;0.899;0.8407;0.8012;0.7234;0.6744;0.6205;0.602;0.5063;0.4863;0.4649;0.4151;0.3812;0.3593;0.352;0.3078;0.2983;0.26;0.2722;0.262;0.252;0.2405;0.2334;0.2215
