Method_1;Method_2;RBO_Score
Permutation;LRC_covariance;0.7616550877166666
Permutation;LRC_perturbationv2;0.7495518803066666
VIP_Score;LRC_perturbationv2;0.7226726773033333
VIP_Score;Permutation;0.7073493992633333
VIP_Score;LRC_covariance;0.5780985959266667
LRC_perturbationv2;LRC_covariance;0.5574721011333335
Permutation;LRC_perturbation;0.3993412720966666
LRC_perturbation;LRC_covariance;0.3574001959266666
LRC_perturbation;LRC_perturbationv2;0.3522904940566666
VIP_Score;Reg_Coefficient;0.3491582855133332
Reg_Coefficient;LRC_perturbationv2;0.2766243992633333
Reg_Coefficient;Permutation;0.21129679892999997
Reg_Coefficient;LRC_perturbation;0.18217818551333329
VIP_Score;LRC_perturbation;0.17549219072
Reg_Coefficient;LRC_covariance;0.041492001133333324
