model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;mean_abs_diff;zones_removed
pls;SMX;1;zero;0.843445;0.702907;0.140537;0.84375;0.703125;0.140625;0.116255;Ca ka
pls;SMX;2;zero;0.843445;0.603246;0.240199;0.84375;0.609375;0.234375;0.171297;"Ca ka; Mn"
pls;SMX;3;zero;0.843445;0.613613;0.229831;0.84375;0.625;0.21875;0.203573;"Ca ka; Mn; Si"
pls;SMX;4;zero;0.843445;0.544665;0.29878;0.84375;0.609375;0.234375;0.222217;"Ca ka; Mn; Si; Fe ka"
pls;SMX;5;zero;0.843445;0.649897;0.193548;0.84375;0.671875;0.171875;0.210958;"Ca ka; Mn; Si; Fe ka; Ti ka"
pls;SMX;6;zero;0.843445;0.508238;0.335207;0.84375;0.578125;0.265625;0.216178;"Ca ka; Mn; Si; Fe ka; Ti ka; K"
pls;SMX;7;zero;0.843445;0.428216;0.415229;0.84375;0.53125;0.3125;0.221693;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al"
pls;SMX;8;zero;0.843445;0.416936;0.426509;0.84375;0.546875;0.296875;0.224875;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb"
pls;SMX;9;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.229979;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb"
pls;SMX;10;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.229328;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P"
pls;SMX;11;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.228021;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb"
pls;SMX;12;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.227482;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S"
pls;SMX;13;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.22781;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S; Cu"
pls;SMX;14;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.22903;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S; Cu; sum Fe"
pls;SMX;15;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.229454;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S; Cu; sum Fe; background3"
pls;SMX;16;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.2294;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S; Cu; sum Fe; background3; Fe ka + Ti ka"
pls;SMX;17;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.228957;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S; Cu; sum Fe; background3; Fe ka + Ti ka; background2"
pls;SMX;18;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.229033;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S; Cu; sum Fe; background3; Fe ka + Ti ka; background2; Rh L + Ar"
pls;SMX;19;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.229413;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S; Cu; sum Fe; background3; Fe ka + Ti ka; background2; Rh L + Ar; Cr"
pls;SMX;20;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.22945;"Ca ka; Mn; Si; Fe ka; Ti ka; K; Al; Fe kb; Ca kb; P; Ti kb; S; Cu; sum Fe; background3; Fe ka + Ti ka; background2; Rh L + Ar; Cr; background1"
pls;SHAP;1;zero;0.843445;0.702907;0.140537;0.84375;0.703125;0.140625;0.116255;Ca ka
pls;SHAP;2;zero;0.843445;0.603246;0.240199;0.84375;0.609375;0.234375;0.171297;"Ca ka; Mn"
pls;SHAP;3;zero;0.843445;0.595151;0.248294;0.84375;0.609375;0.234375;0.182504;"Ca ka; Mn; Fe ka"
pls;SHAP;4;zero;0.843445;0.544665;0.29878;0.84375;0.609375;0.234375;0.222217;"Ca ka; Mn; Fe ka; Si"
pls;SHAP;5;zero;0.843445;0.649897;0.193548;0.84375;0.671875;0.171875;0.210958;"Ca ka; Mn; Fe ka; Si; Ti ka"
pls;SHAP;6;zero;0.843445;0.627444;0.216;0.84375;0.671875;0.171875;0.213648;"Ca ka; Mn; Fe ka; Si; Ti ka; Fe kb"
pls;SHAP;7;zero;0.843445;0.581092;0.262353;0.84375;0.640625;0.203125;0.21936;"Ca ka; Mn; Fe ka; Si; Ti ka; Fe kb; K"
pls;SHAP;8;zero;0.843445;0.531064;0.31238;0.84375;0.609375;0.234375;0.22059;"Ca ka; Mn; Fe ka; Si; Ti ka; Fe kb; K; sum Fe"
pls;SHAP;9;zero;0.843445;0.476642;0.366803;0.84375;0.578125;0.265625;0.219939;"Ca ka; Mn; Fe ka; Si; Ti ka; Fe kb; K; sum Fe; P"
pls;SHAP;10;zero;0.843445;0.447513;0.395932;0.84375;0.5625;0.28125;0.225454;"Ca ka; Mn; Fe ka; Si; Ti ka; Fe kb; K; sum Fe; P; Al"
pls;SHAP;11;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.230558;"Ca ka; Mn; Fe ka; Si; Ti ka; Fe kb; K; sum Fe; P; Al; Ca kb"
pls;SHAP;12;zero;0.843445;0.350838;0.492607;0.84375;0.515625;0.328125;0.230595;"Ca ka; Mn; Fe ka; Si; Ti ka; Fe kb; K; sum Fe; P; Al; Ca kb; Rh L + Ar"
