Class;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290
A;24.0;19.0;19.0;20.0;21.0;23.0;25.0;23.0;26.0;16.0;22.0;11.0;23.0;15.0;13.0;23.0;18.0;22.0;29.0;28.0;27.0;32.0;18.0;21.0;22.0;26.0;25.0;21.0;26.0;21.0;24.0;28.0;25.0;16.0;19.0;21.0
A;15.0;15.0;18.0;20.0;16.0;26.0;23.0;20.0;15.0;22.0;22.0;24.0;30.0;23.0;22.0;16.0;25.0;19.0;16.0;24.0;20.0;20.0;24.0;19.0;16.0;19.0;18.0;23.0;24.0;26.0;15.0;23.0;16.0;23.0;27.0;29.0
A;23.0;24.0;21.0;25.0;21.0;15.0;19.0;22.0;19.0;21.0;20.0;21.0;22.0;25.0;27.0;20.0;15.0;25.0;28.0;18.0;23.0;20.0;26.0;25.0;19.0;14.0;22.0;17.0;22.0;21.0;20.0;23.0;26.0;19.0;16.0;22.0
A;25.0;20.0;30.0;20.0;17.0;16.0;15.0;25.0;20.0;16.0;26.0;24.0;25.0;27.0;18.0;19.0;25.0;18.0;16.0;20.0;19.0;23.0;22.0;22.0;16.0;12.0;16.0;23.0;23.0;21.0;23.0;15.0;21.0;14.0;15.0;15.0
A;28.0;27.0;20.0;17.0;15.0;20.0;25.0;20.0;16.0;32.0;14.0;15.0;23.0;21.0;25.0;15.0;33.0;25.0;21.0;15.0;21.0;26.0;22.0;29.0;40.0;20.0;18.0;23.0;16.0;18.0;16.0;21.0;24.0;21.0;19.0;22.0
A;22.0;27.0;20.0;20.0;20.0;15.0;26.0;21.0;17.0;30.0;17.0;19.0;22.0;20.0;29.0;17.0;23.0;33.0;19.0;19.0;29.0;20.0;20.0;22.0;32.0;26.0;21.0;26.0;25.0;22.0;19.0;21.0;28.0;22.0;15.0;17.0
A;17.0;25.0;21.0;22.0;24.0;30.0;16.0;20.0;23.0;25.0;25.0;19.0;24.0;22.0;14.0;20.0;18.0;27.0;18.0;31.0;24.0;34.0;14.0;20.0;16.0;28.0;18.0;22.0;26.0;30.0;17.0;28.0;20.0;18.0;14.0;17.0
A;18.0;33.0;16.0;24.0;19.0;20.0;21.0;29.0;26.0;25.0;22.0;24.0;24.0;20.0;23.0;23.0;24.0;19.0;25.0;26.0;27.0;22.0;20.0;24.0;27.0;31.0;20.0;32.0;27.0;20.0;21.0;28.0;20.0;19.0;21.0;25.0
A;15.0;24.0;29.0;24.0;25.0;15.0;23.0;30.0;19.0;14.0;24.0;24.0;22.0;18.0;22.0;31.0;28.0;24.0;24.0;31.0;31.0;29.0;24.0;26.0;34.0;28.0;24.0;20.0;26.0;25.0;24.0;26.0;18.0;28.0;20.0;23.0
A;27.0;18.0;21.0;21.0;30.0;18.0;17.0;22.0;18.0;19.0;17.0;24.0;26.0;23.0;27.0;34.0;21.0;24.0;19.0;16.0;23.0;30.0;25.0;21.0;22.0;13.0;12.0;24.0;25.0;21.0;14.0;19.0;22.0;23.0;20.0;21.0
A;21.0;22.0;21.0;34.0;18.0;17.0;19.0;20.0;15.0;22.0;16.0;17.0;20.0;14.0;19.0;22.0;23.0;17.0;20.0;14.0;27.0;25.0;24.0;19.0;20.0;20.0;29.0;29.0;6.0;18.0;16.0;21.0;14.0;22.0;22.0;14.0
